Project,ID,Name,Status,Power State,Networks,Flavor Name,Host,CPU,RAM
APP-DEV,8f730d22-20cd-4a44-ac11-68d66c19317f,node-cdp-dev6,ACTIVE,,"robot-dev-net=10.10.11.7, 172.18.228.226",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
APP-DEV,d161e95e-41fb-463f-aee9-757022055928,node-cdp-dev1,ACTIVE,,"robot-dev-net=10.10.11.139, 172.18.225.198",nifi-64-500-1s,gti-r01-oscompute-03,8, 64G
APP-DEV,8d556a0b-cdc1-448a-82c5-fb639bd28f0d,POC-Aiops-Indexer-136,ACTIVE,,"robot-dev-net=10.10.11.146, 172.18.227.237",poc-aiops-8-8,gti-r01-oscompute-04,8, 8G
APP-DEV,7cd4c9de-ab4d-483a-9706-e579fc99d072,DesktopOrchestratorUAT_17218227119,ACTIVE,,"robot-dev-net=10.10.11.21, 172.18.227.119",windows2019-8-200-1s,gti-r01-oscompute-04,4, 8G
APP-DEV,79311a2a-27ca-4d94-8a00-1388f9a3e076,DesktopRobotStudioUAT_4_1721823059,ACTIVE,,"robot-dev-net=10.10.11.33, 172.18.230.59",windows2019-8-200-1s,gti-r01-oscompute-04,4, 8G
APP-DEV,f112d62d-9df7-4a99-b20b-072b57633d23,DesktopRobotStudioUAT_1_1721823054,ACTIVE,,"robot-dev-net=10.10.11.118, 172.18.230.54",windows2019-8-200-1s,gti-r01-oscompute-04,4, 8G
APP-DEV,e27453c6-269e-4eb0-85c9-82ae173a638b,DesktopRobotStudioUAT_2_1721822846,ACTIVE,,"robot-dev-net=10.10.11.25, 172.18.228.46",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,b28a580e-c07c-410b-ae1b-79b1e90fa2fa,DesktopRobotUAT_8_17218226189,ACTIVE,,"robot-dev-net=10.10.11.233, 172.18.226.189",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,dcd9670a-15cf-436c-9273-d7f93261a167,DesktopRobotUAT_7_1721822570,ACTIVE,,"robot-dev-net=10.10.11.252, 172.18.225.70",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,96339e17-a3e4-4f4f-872d-6625d91e277a,DesktopRobotUAT_5_17218225195,ACTIVE,,"robot-dev-net=10.10.11.10, 172.18.225.195",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,dec756cc-22e8-4882-8bec-66aa3bc94f52,DesktopRobotUAT_4_17218226152,ACTIVE,,"robot-dev-net=10.10.11.11, 172.18.226.152",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,d21278ca-87b1-4463-8e6d-51642ea1bd27,DesktopRobotUAT_2_17218225119,ACTIVE,,"robot-dev-net=10.10.11.165, 172.18.225.119",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,fa5f923e-70d5-4cc1-9b84-14664fe78d7f,DesktopRobotUAT_3_17218227173,ACTIVE,,"robot-dev-net=10.10.11.31, 172.18.227.173",windows2019-8-200-1s,gti-r01-oscompute-06,4, 8G
APP-DEV,4eb7f645-4d20-447c-9f15-5f5ab41f9fdb,DTS-EMS-Surrounding-System-Cardless-Service-17218248189,ACTIVE,,Dev-Net=172.18.228.13,app-dev,gti-r01-oscompute-07,8, 8G
APP-DEV,fe979bce-f426-406e-a628-423966bd3501,RM-Workbench-FE,ACTIVE,,Dev-Net=172.18.226.229,app-dev-8-4,gti-r01-oscompute-07,4, 8G
APP-DEV,50281935-bd38-48a9-817a-8c62121eb775,Loan_On_Phone_(LOP)_Surrounding_System_MSS_PROD_17218228112,ACTIVE,,Dev-Net=172.18.226.166,app-dev,gti-r01-oscompute-07,8, 8G
APP-DEV,97fbda70-75d7-420e-9127-d3a1a97a91fd,DB-Machine-Norxel-Dev-1,ACTIVE,,Dev-Net=172.18.226.13,app-dev,gti-r01-oscompute-07,8, 8G
APP-DEV,aae5177b-f043-4153-baba-d9a8a0577c77,BRICARD-PRO-Master,ACTIVE,,Dev-Net=172.18.225.215,app-dev,gti-r01-oscompute-10,8, 8G
APP-DEV,2c37a3a6-2910-4164-a8cc-d115cca03aad,BRICARD PRO DB,ACTIVE,,Dev-Net=172.18.227.13,app-dev,gti-r01-oscompute-10,8, 8G
APP-DEV,3ef0106e-1680-411d-91ad-f582c53075b7,Portal-KKD-Surrounding-System-DB,ACTIVE,,Dev-Net=172.18.225.217,app-dev,gti-r01-oscompute-11,8, 8G
APP-DEV,71c5d5e0-0b3f-4a91-9b7a-07a0985d7ce1,Tacacs-Baru,ACTIVE,,Dev-Net=172.18.228.161,app-dev,gti-r01-oscompute-11,8, 8G
APP-DEV,95c9d866-cc6b-4ac6-a424-a3e361820344,APP-Machine-Norxel-Dev-2,ACTIVE,,Dev-Net=172.18.228.140,app-dev,gti-r01-oscompute-11,8, 8G
APP-DEV,c4e40b7b-4fe2-4bd8-8c16-f68a60038568,Digital-Porto-Metrics,ACTIVE,,Dev-Net=172.18.226.55,ubuntu-DigitalPorto,gti-r02-oscompute-13,4, 4G
APP-DEV,b88c3d7d-e07d-4249-9f99-125cdc1cb825,DesktopRobotStudioUAT_7_1721822566,ACTIVE,,"robot-dev-net=10.10.11.13, 172.18.225.66",windows2019-8-200-1s,gti-r02-oscompute-14,4, 8G
APP-DEV,ae8310d1-ed15-4158-b81a-64556896be47,DesktopRobotUAT_9_1721822652,ACTIVE,,"robot-dev-net=10.10.11.116, 172.18.226.52",windows2019-8-200-1s,gti-r02-oscompute-14,4, 8G
