Project|ID|Name|Status|Power State|Networks|Flavor Name|Host|CPU|RAM
ddb-staging|a0b506cd-dd1f-406c-b19d-2b2494a74076|odc-k8s-stg-jumpserver|ACTIVE|Running|k8s-staging-calico=192.168.224.10, 172.28.222.210|c2-standard-4-1s|odc-r07-oscompute-33|4|8G
ddb-staging|ae162d20-431a-4f7f-9c54-7499bbfc5ed6|odc-k8s-stg-master-01|ACTIVE|Running|k8s-staging-calico=192.168.224.11, 172.28.222.211|c2-standard-8-1s|odc-r07-oscompute-30|8|16G
ddb-staging|435cc45e-c575-4ca3-9f1d-92891a3d57c4|odc-k8s-stg-master-02|ACTIVE|Running|k8s-staging-calico=192.168.224.12, 172.28.222.212|c2-standard-8-1s|odc-r08-oscompute-17|8|16G
ddb-staging|fc841fe9-8f2b-48c1-86c7-bcb7ce016690|odc-k8s-stg-master-03|ACTIVE|Running|k8s-staging-calico=192.168.224.13, 172.28.222.213|c2-standard-8-1s|odc-r08-oscompute-18|8|16G
ddb-staging|2812068d-f104-4e6f-9017-3e6383669ae5|odc-k8s-stg-worker-01|ACTIVE|Running|k8s-staging-calico=192.168.224.21|c2-standard-16-1s|odc-r06-oscompute-42|16|32G
ddb-staging|3c3c68be-4bd5-43a5-b5ee-ef4d67d6a65a|odc-k8s-stg-worker-02|ACTIVE|Running|k8s-staging-calico=192.168.224.22|c2-standard-16-1s|odc-r06-oscompute-38|16|32G
ddb-staging|99b2aa84-6678-493f-b764-deeef68a00dd|odc-k8s-stg-worker-03|ACTIVE|Running|k8s-staging-calico=192.168.224.23|c2-standard-16-1s|odc-r06-oscompute-43|16|32G
ddb-staging|10ac854a-d12d-4131-a889-e7ed16f32f83|odc-k8s-stg-worker-04|ACTIVE|Running|k8s-staging-calico=192.168.224.24|c2-standard-16-1s|odc-r09-oscompute-06|16|32G
ddb-staging|eeb13091-e6a0-4b8b-a5ee-5aea93934f90|odc-k8s-stg-worker-05|ACTIVE|Running|k8s-staging-calico=192.168.224.25|c2-standard-16-1s|odc-r09-oscompute-04|16|32G
ddb-staging|b2bb7329-fa61-48bf-be75-56717745d14c|odc-k8s-stg-worker-06|ACTIVE|Running|k8s-staging-calico=192.168.224.26|c2-standard-16-1s|odc-r08-oscompute-15|16|32G
ddb-staging|0d338f2b-0da7-4efc-8dc7-af54f9a7c093|odc-k8s-stg-worker-07|ACTIVE|Running|k8s-staging-calico=192.168.224.27|c2-standard-16-1s|odc-r06-oscompute-37|16|32G
admin|d0323848-81a0-41f9-935f-281704b263f6|ubuntu22-k8s-v1-26-containerd|ACTIVE|Running|admin-net-prod=192.168.100.148, 172.28.219.79|c2-standard-4-1s|odc-r06-oscompute-40|4|8G
ddb|a89a7e04-fb4d-405e-989b-785ab4688465|k8s-worker-08|ACTIVE|Running|k8s-prd-net=10.255.1.28, 172.28.217.76|k9-standard-w1-1s|odc-r06-oscompute-40|16|32G
ddb|1bf5c26e-b9ae-468f-8289-10a55f48c144|sabrina-dbchatbot-3|ACTIVE|Running|sabrina-database-1-net=10.31.2.100, 172.28.216.63|sabrina-database-8-24|odc-r06-oscompute-43|8|24G
ddb|f63f706b-5c2e-4b29-9a31-8317bb904cab|sabrina-dbchatbot-2|ACTIVE|Running|sabrina-database-1-net=10.31.2.201, 172.28.216.70|sabrina-database-8-24|odc-r06-oscompute-43|8|24G
ddb|072603b1-99d8-4acb-946d-8ea8a46b4b6e|sabrina-dbchatbot-1|ACTIVE|Running|sabrina-database-1-net=10.31.2.68, 172.28.216.216|sabrina-database-8-24|odc-r06-oscompute-43|8|24G
ddb|c9bce5f5-d9d6-4af5-be82-1af6c06e873f|odc-prd-k8s-ingress-03|ACTIVE|Running|devops-backend-01=10.40.1.222, 172.28.219.213|c2-standard-8-1s|odc-r08-oscompute-15|8|16G
ddb|bfd2b62e-c606-4e99-8b77-ae1fa500285c|odc-prd-k8s-ingress-02|ACTIVE|Running|devops-backend-01=10.40.1.221, 172.28.219.212|c2-standard-8-1s|odc-r06-oscompute-37|8|16G
ddb|9ff20ddc-92ce-48b2-9f9b-d2cfd399c30d|odc-prd-k8s-ingress-01|ACTIVE|Running|devops-backend-01=10.40.1.220, 172.28.219.211|c2-standard-8-1s|odc-r06-oscompute-37|8|16G
ddb|8db11037-5707-4b07-8ff4-08c032e16fef|sabrina-appchatbot-1|ACTIVE|Running|sabrina-backend-1-net=10.31.0.5, 172.28.216.252|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
ddb|7e7b1d78-7b9b-4ca9-834e-d202aca58359|sabrina-appchatbot-1|ACTIVE|Running|sabrina-backend-1-net=10.31.0.100, 172.28.216.3|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
ddb|a75c2719-6efb-42b0-93e6-1fb11e06d31b|sabrina-webchatbot-2|ACTIVE|Running|sabrina-frontend-1-net=10.31.1.75, 172.28.216.151|c2-standard-4-1s|odc-r06-oscompute-37|4|8G
ddb|bb59a656-310a-4d1d-9a37-2186511fb4b4|sabrina-webchatbot-1|ACTIVE|Running|sabrina-frontend-1-net=10.31.1.168, 172.28.216.225|c2-standard-4-1s|odc-r06-oscompute-37|4|8G
ddb-staging|4eb80dc7-5c2b-4dbc-ab85-1256b226c419|cbm-rabbitmq-staging-odc-1|ACTIVE|Running|net-cbm-database-staging-1=10.30.12.214|c2-standard-2-1s|odc-r06-oscompute-37|2|4G
ddb-staging|1fc67136-98df-4821-9e45-71a64fa527f9|cbm-db-lb-percona-staging-odc|ACTIVE|Running|net-cbm-database-staging-1=10.30.12.248, 172.28.221.1|c2-standard-2-1s|odc-r06-oscompute-37|2|4G
ddb-staging|9209f448-26eb-44d2-85a5-761bc8f9de3e|cbm-db-percona-staging-odc-3|ACTIVE|Running|net-cbm-database-staging-1=10.30.12.25|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
ddb-staging|7ebe0d35-461f-4314-be13-f01e77a56e7b|cbm-db-percona-staging-odc-2|ACTIVE|Running|net-cbm-database-staging-1=10.30.12.126|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
ddb-staging|2944d338-06e3-4c11-b705-59385b3316cc|cbm-db-percona-staging-odc-1|ACTIVE|Running|net-cbm-database-staging-1=10.30.12.162|n2-standard-4-1s|odc-r06-oscompute-37|4|16G
admin|20b9571d-b2c2-4d2f-a728-af574ae6e212|uptime-kuma|ACTIVE|Running|Dev_Network=172.28.227.164; Prod_Network=172.28.217.41; admin-net-prod=192.168.100.53, 172.28.218.178|n2-high-8-16-1s|odc-r06-oscompute-37|8|16G
admin|8a4cf526-7e39-4fe6-ae0a-c4e52cd80f26|tes-pjr|ACTIVE|Running|admin-net-prod=192.168.100.205|n2-highcpu-4-1s|odc-r06-oscompute-37|4|4G
edm|bb288a9e-431b-49e0-aabc-4ffc281335ad|odc-edm-prd-k8s-lb-ingress-1|ACTIVE|Running|edm-k8s-prod-net=10.40.220.141|c2-standard-4-1s|odc-r07-oscompute-29|4|8G
edm|c43a32e4-3179-4384-a1b9-b6ac3ee55872|odc-edm-prd-k8s-jenkins|ACTIVE|Running|edm-k8s-prod-net=10.40.220.103, 172.28.217.95|c2-standard-4-1s|odc-r06-oscompute-37|4|8G
edm|736cd520-eedf-4032-9e0f-fca03121d331|odc-edm-prd-k8s-lb-ingress-3|ACTIVE|Running|edm-k8s-prod-net=10.40.220.143|c2-standard-4-1s|odc-r08-oscompute-18|4|8G
edm|99f8d7c3-9d5c-41c1-b663-64719f38bd9e|odc-edm-prd-k8s-nfs-server|ACTIVE|Running|edm-k8s-prod-net=10.40.220.102|c2-standard-2-1s|odc-r06-oscompute-37|2|4G
edm|a0130858-bbd4-4e51-b849-f48e766554ba|odc-edm-prd-k8s-registry|ACTIVE|Running|edm-k8s-prod-net=10.40.220.104|n2-highcpu-2-1s|odc-r09-oscompute-06|2|2G
edm|6a6c8931-c59b-4118-b359-0ae6c6f4494d|odc-edm-prd-k8s-lb-ingress-2|ACTIVE|Running|edm-k8s-prod-net=10.40.220.142|c2-standard-4-1s|odc-r06-oscompute-37|4|8G
edm|3b37f168-897e-42ab-92f3-88a6bf0a97e0|odc-edm-prd-k8s-worker-5|ACTIVE|Running|edm-k8s-prod-net=10.40.220.125|c2-standard-16-1s|odc-r08-oscompute-16|16|32G
edm|5d5899ad-1f34-4bf5-8ac0-3ece18b75295|odc-edm-prd-k8s-worker-9|ACTIVE|Running|edm-k8s-prod-net=10.40.220.129|c2-standard-16-1s|odc-r06-oscompute-41|16|32G
edm|f560ce63-3523-43bc-94ed-24069801f29d|odc-edm-prd-k8s-worker-8|ACTIVE|Running|edm-k8s-prod-net=10.40.220.128|c2-standard-16-1s|odc-r09-oscompute-11|16|32G
